DONTE DIVINCENZO BUCKS 2018 PRIZM SILVER #246 REFRACTOR PSA 10 GEM RC ROOKIE, 67.50
 BAM ADEBAYO HEAT 2017 PRIZM LUCK LOTTERY SILVER REFRACTOR PSA 10 GEM RC ROOKIE, 63.00
 PATRICK MAHOMES ROOKIE 2017 DONRUSS OPTIC SILVER PRIZM GRIDIRON KINGS PSA 10🔥📈, 152.50
 2019 Panini Prizm Silver #304 Drew Lock Auto RC Rookie Gem Mint PSA 10 Low Pop, 350.00
 Rui Hachimura 2019-20 Panini Silver Prizm Instant Impact Rookie Card #8 PSA 10, 26.00
 JA MORANT 2019 PANINI PRIZM DRAFT PICK SILVER RC #65 PSA 10 GEM MINT 🔥🔥🔥 ROY?, 91.00
 ZION WILLIAMSON 2019 Panini Prizm Draft RC #64 Silver Rookie Card PSA 10 , 166.50
 D'Angelo Russell 2015 Panini Select Silver Prizms Refractor Rookie PSA 10 Gem Mt, 119.95
 JA MORANT HOLO SILVER PRIZM REFRACTOR SP ROOKIE RC GRIZZLIES PSA 10 GEM MT ? BGS, 14.50
 2019 Prizm SILVER REFRACTOR Celtics ROMEO LANGFORD Rookie Card PSA 10 GEM MINT, 99.99
 2018 Panini DeAndre Ayton Silver Prizm PSA 10 Suns, 129.50
 2019 Panini Prizm Draft Picks Prizms Silver Daniel Jones Rookie PSA 10 RC, 28.50
 2019-20 Prizm Draft Picks GRANT WILLIAMS Silver Prizm #87 PSA 10 GEM MT Celtics, 19.99
 2019 Panini Prizm DEVIN SINGLETARY RC SILVER PRIZM Perfect Centering Psa 10??, 14.95
 2019-20 Prizm Draft Picks RJ Barrett Silver Prizm RC #3 PSA 10!!!, 49.99
 2018-19 Luka Doncic Rated Rookie Rookie PSA 10 BGS 10? RC Non Prizm Silver 📈🔥, 207.50
 Bol Bol - 2019 Panini Prizm Draft Picks SILVER Rookie RC Gem Mint PSA 10, 69.99
 Kyler Murray 2019 Panini DP Prizm Silver Prizm RC PSA 10 low pop, 59.99
 2019 PANINI PRIZM ZION WILLIAMSON SILVER PRIZM Rookie RC PSA 10 GEM MINT, 1995.00
 2017-18 Panini Prizm Silver #117 Donovan Mitchell PSA 10 GEM MT RC Jazz, 349.99
 2018-19 Panini Prizm Wendell Carter Jr Silver Prizm Rookie PSA 10 Gem Mint Bulls, 39.99
 2018-19 Doncic Rookie PSA 10 #127 RC BGS 10 ? Non Silver Prizm Gem Mint 📈 Optic, 260.00
 Buddy Hield 2016-17 Prizm Silver Psa 10 Rookie Card No. 192 Rc Kings Qty., 119.99
 2018 Panini Prizm Silver Prizms Luka Doncic ROOKIE RC #280 PSA 10 GEM MT, 1500.00
 2018-19 Panini Prizm Silver #32 Michael Porter Jr. Nuggets RC Rookie PSA 10, 189.99
 2018 Panini Prizm Freshman Phenoms Michael Porter Jr RC PSA 10 ROOKIE, 19.99
 2019 Panini Prizm DP Daniel Jones SILVER PRIZM ROOKIE #116 PSA 10 GEM MINT, 30.00
 WENDELL CARTER JR. 2018 PANINI PRIZM SILVER PARALLEL ROOKIE RC #80 PSA 10 GEM MT, 44.00
 Christian McCaffrey 2017 Paninin Prizm Silver Prizm Refractor Rookie Card PSA 10, 139.00
 2014 Panini Prizm SP Variations Silver #33 Joel Embiid Rookie PSA 10 🔥HOT🔥, 95.00
 2018 Panini Select LAMAR JACKSON SILVER PRIZM #205 PSA 10 GEM MT RAVENS Rc, 499.99
 2017-18 Panini Prizm Frank Mason III Silver Prizm RC PSA 10 Gem Mint, 24.99
 2018-19 Prizm DEANDRE AYTON Rookie RC SILVER PRIZM BASE PSA 10 GEM MT Suns, 140.00
 DAK PRESCOTT 2016 PANINI PRIZM #231 RC ROOKIE SILVER PRIZMS SP PSA 10 GEM MINT, 144.99
 2018-19 PRIZM BASKETBALL MICHAEL PORTER JR. ROOKIE SILVER PRIZM PSA 10 RC [SQ], 154.50
 De Aaron Fox 2017-2018 Panini Prizm Silver Fast Break Rookie RC Psa 10 Gem Mint, 99.00
 TRAE YOUNG 2018/19 PANINI PRIZM #78 RC ROOKIE SILVER PRIZMS SP PSA 10 GEM MINT, 525.00
 2017 Panini Prizm Christian McCaffrey Rookie Silver Prizm Graded PSA 10 GEM MINT, 89.99
 PATRICK MAHOMES 2017 PANINI PRIZM 269 RC ROOKIE SILVER PRIZMS SP PSA 10 GEM MINT, 1532.77
 2018 PANINI PRIZM 109 MELVIN FRAZIER SILVER PRIZM PSA 10 Rookie, 19.99
 SHAI GILGEOUS-ALEXANDER 2018-19 Panini Rookie Silver Prizm 🔥 RC PSA 10, 299.99
 2019-20 Panini Prizm Silver #75 Luka Doncic Mavericks PSA 10 GEM MINT, 199.95
 Lamar Jackson 2018 Select Silver Prizm Rookie Card PSA 10 Gem Mint Ravens, 200.00
 2019 Prizm Zion Williamson Silver Prizm RC PSA 10 GEM MINT, 1995.00
 2019-20 Panini Prizm Silver Prizm #292 Nic Claxton Rookie Nets PSA 10 GEM MINT, 56.00
 2018-19 Panini Prizm Silver #68 Kevin Huerter Atlanta Hawks RC Rookie PSA 10, 33.00
 2018 Panini Silver Prizm #68 Kevin Huerter Atlanta Hawks RC PSA 10 GEM MINT, 58.00
 2015-16 Panini Prizm Silver KARL-ANTHONY TOWNS Rookie RC PSA 10 Gem Mint, 539.00
 2017-18 Jayson Tatum Panini Silver Prizm RC #16 Refractor PSA 10 Rookie Holo HOT, 1049.99
 Lot of (2) 2018 Panini Prizm Robert Williams III Silver PSA 10!, 33.44
MICHAEL PORTER JR 2018/19 PANINI PRIZM RC ROOKIE SILVER PRIZMS PSA 10 GEM MINT, 175.00
 Christian McCaffrey 2017 Panini Select Silver Prizm Rookie Card PSA 10 Gem Mt, 90.00
 2017-18 Panini Prizm Silver Prizms Rookie #283 Kyle Kuzma PSA 10, 149.99
 2016 Panini Prizm Silver Ezekiel Elliott Psa 10 Rookie, 79.99
 2019-20 Prizm Draft Zion Williamson SILVER GEM Rookie Pelicans PSA 10 invest RC, 189.95
 PSA 10 Gem Mint MATISSE THYBULLE 2019 Panini SILVER PRIZM Rookie RC 0463 HOT, 114.95
 2018 Panini Prizm Trae Young Mosaic Silver Refractor #93 Atlanta Hawks PSA 10, 165.00
 RJ BARRETT 2019 PRIZM DRAFT SILVER REFRACTOR ROOKIE RC #3 PSA 10 *DUKE STAR*, 59.99
 PSA 10 2018-19 Panini Prizm Collin Sexton Silver Prizm RC Rookie Gem Mint #170, 179.99
 2017 Panini Prizm Silver Prizm Bam Adebayo ROOKIE RC #51 PSA 10 GEM MINT Heat, 205.00
 2018/19 Panini Prizm GRAYSON ALLEN SILVER REFRACTOR RC/ROOKIE JAZZ #123 PSA 10, 35.00
 2019-20 PANINI PRIZM LEBRON JAMES SILVER PRIZM PSA 10 LOS ANGELES LAKERS, 549.95
 Grayson Allen 2018 Donruss Optic Silver Prizm Auto Rookie RC PSA 10 GMT POP 2, 75.99
 2019 PANINI SELECT JARRETT STIDHAM SILVER RC PRIZM ROOKIE SP RARE PSA 10?🔥🔥, 12.27
 2018-19 Panini Prizm Silver #78 Trae Young Atlanta Hawks RC Rookie PSA 10, 510.00
 LAURI MARKKANEN RC 2017 PRIZM SILVER #247 PSA 10 ROOKIE CHICAGO BULLS GEM MINT, 119.99
 RJ Barrett 2019-20 Panini Prizm Draft Picks Silver Prizm #72 PSA 10 GEM MINT, 29.95
 RJ Barrett 2019-20 Panini Prizm Draft Picks Silver Prizm #3 PSA 10 GEM MINT, 39.95
 RJ Barrett 2019-20 Panini Prizm Draft Pick Silver 2019 Rookie RC Card #3 PSA 10, 49.99
 2019-20 Panini Prizm COBY WHITE Silver Prizm Rookie #253 PSA 10 GEM MINT, 349.99
 2017 DONRUSS OPTIC PATRICK MAHOMES II The Rookies SILVER PRIZM #7 PSA 10?, 93.00
 JAYSON TATUM 2017 RC Panini Prizm Emergent Silver PSA 10 Gem Mint🔥🔥, 49.99
 Deshaun Watson 2017 Panini Silver Prizm Football RC #279 PSA 10, 192.95
 2019-20 Panini Prizm Silver #75 Luka Doncic Mavericks RC Rookie PSA 10 GEM MINT, 329.99
 2019-20 Panini Prizm #249 Ja Morant SILVER PRIZM Rookie RC PSA 10 GEM MT, 880.00
 Lamar Jackson 2018 Panini Prizm RC Rookie Introduction Silver PSA10 GEM MVP b, 79.95
 DESHAUN WATSON 2017 PANINI PRIZM RC ROOKIE SILVER PRIZMS TEXANS PSA 10 GEM MINT, 174.00
 JAYSON TATUM 2017 PANINI SELECT #93 SILVER PRIZM SP RC ROOKIE PSA 10 GEM MINT, 290.00
 2018-19 Panini Prizm Silver #99 Mo Bamba Orlando Magic RC Rookie PSA 10 GEM MINT, 40.00
 ZION WILLIAMSON 2019-20 Prizm Draft Picks Silver Prizm Rookie PSA 10 Gem RC, 205.50
 Ja Morant Silver Prizms BGS 9.5 2019-20 Panini Prizm PSA 10? Memphis Grizzlies, 600.00
 2019-20 Panini Prizm Silver Ja Morant Rookie RC #249 PSA 10 GEM MINT, 975.00
 LAMAR JACKSON 2018 18 Panini Select Silver Prizm Premier Level RC #149 PSA 10, 225.00
 2019-20 Panini Prizm SILVER Prizm 254 Jaxson Hayes Rookie Pelicans Psa 10 Gem MT, 75.00
 2019-20 PANINI PRIZM JA MORANT #249 SILVER PRIZMS RC ROOKIE PSA 10 GEM MINT, 949.95
 2018 Panini Silver Prizm #227 Mitchell Robinson Refractor Rookie Card PSA 10, 74.95
 2019-20 Panini Prizm Silver Prizm #262 Nickeil Alexander Walker PSA 10 GEM MINT, 62.00
 LAMAR JACKSON 2018 PANINI SELECT #149 SILVER PRIZM REFRACTOR ROOKIE RC PSA 10, 300.00
 2018 Panini Silver Prizm Instant Impact #II-1 Baker Mayfield Rookie RC PSA 10, 24.49
 2019 Prizm SILVER REFRACTOR Packers JACE STERNBERGER RC Card PSA 10 GEM MINT , 39.99
 2019 Panini Prizm Football Silver Gardner Minshew Base Rookie Card -RC- PSA 10?, 15.00
 Jaren Jackson Jr. PSA 10 2018-19 Panini Prizm Silver Rookie #66 Grizzlies, 170.00
 TREY LYLES 2015-16 PANINI PRIZM SILVER PRIZM ROOKIE PSA 10 GEM MINT , 25.00
 2018-19 Panini Prizm SILVER JAREN JACKSON Jr PSA 10 GEM MT Memphis Grizzlies, 195.00
 2018-19 Panini Prizm Silver Devonte Graham RC Rookie AUTO Hornets PSA 10, 499.95
 COBY WHITE 2019-20 SILVER PRIZM RC PSA 10 BULLS, 400.00
